# Directed graph (each unordered pair of nodes is saved once): web-Stanford.txt 
# Stanford web graph from 2002
# Nodes: 281903 Edges: 2312497
# FromNodeId	ToNodeId
220513	170452
170452	13602
170452	67503
170452	89073
170452	111928
170452	119176
170452	134375
170452	179645
134375	67503
134375	89073
134375	170452
134375	255083
59745	5
59745	14395
59745	57034
59745	67503
59745	134375
59745	170452
59745	220513
67503	134375
67503	170452
6545	5
6545	13105
6545	14395
6545	67503
6545	134375
6545	170452
6545	220513
14395	5
14395	6545
14395	13105
14395	15407
14395	19978
14395	26392
14395	31063
14395	57034
14395	59745
14395	67503
14395	71155
14395	76684
14395	83299
14395	86788
14395	91194
14395	98788
14395	102360
14395	134375
14395	170452
14395	211621
14395	220513
6	6540
6	59742
59742	6
59742	57036
6540	6
6540	13096
7	45366
7	123814
7	149627
7	194146
7	198520
7	240934
240934	162934
198520	699
198520	18583
198520	35536
198520	36363
198520	38749
198520	48110
198520	64908
198520	68513
198520	96375
198520	99810
198520	101796
198520	113338
198520	113578
198520	117572
198520	125401
198520	126956
198520	128387
198520	129285
198520	130762
198520	167656
198520	167742
198520	177783
198520	181626
198520	192045
198520	192738
198520	199307
198520	212031
198520	226948
198520	231140
198520	234704
198520	235081
198520	238700
198520	245499
198520	257209
198520	275632
198520	281600
194146	168991
149627	197122
149627	264887
123814	76
123814	7411
123814	20530
123814	44679
123814	71962
123814	96879
123814	98031
123814	133047
123814	204298
123814	206031
123814	237051
123814	237599
123814	240570
123814	268317
123814	274404
123814	276125
45366	7
8	35084
8	41117
8	58764
8	86240
8	222332
8	248139
8	270771
270771	3163
270771	11506
270771	35084
270771	41117
270771	56742
270771	58764
270771	82011
270771	84369
270771	111274
270771	114581
270771	136340
270771	146722
270771	168189
270771	177160
270771	215344
270771	225552
270771	238557
270771	253108
248139	3163
248139	11506
248139	35084
248139	41117
248139	56742
248139	58764
248139	82011
248139	84369
248139	111274
248139	114581
248139	146722
248139	168189
248139	177160
248139	215344
248139	225552
248139	270771
222332	3163
222332	11506
222332	35084
222332	41117
222332	47331
222332	56742
222332	58764
222332	82011
222332	84369
222332	111274
222332	114581
222332	146722
222332	168189
222332	177160
222332	215344
222332	225552
222332	238557
222332	239395
222332	249492
222332	270771
86240	3163
86240	11506
86240	35084
86240	41117
86240	56742
86240	58764
86240	82011
86240	84369
86240	111274
86240	114581
86240	146722
86240	168189
86240	177160
86240	182730
86240	215344
86240	225552
86240	252737
86240	270771
41117	3163
41117	11506
41117	35084
41117	45972
41117	56742
41117	58764
41117	82011
41117	84369
41117	89504
41117	111274
41117	114581
41117	146722
41117	147257
41117	168189
41117	177160
41117	215344
41117	225552
41117	270771
58764	3163
58764	11506
58764	35084
58764	41117
58764	56742
58764	56858
58764	57657
58764	60698
58764	82011
58764	84369
58764	111274
58764	114581
58764	146722
58764	149613
58764	152125
58764	168189
58764	168433
58764	177160
58764	179169
58764	215344
58764	217864
58764	225552
58764	234036
58764	270771
35084	3163
35084	11506
35084	23523
35084	41117
35084	42654
35084	56742
35084	58764
35084	66345
35084	82011
35084	84017
35084	84369
35084	110731
35084	111274
35084	114581
35084	146722
35084	152125
35084	168189
35084	177160
35084	198551
35084	215344
35084	217864
35084	225552
35084	234036
35084	257920
35084	270771
9	32423
32423	2919
32423	17161
32423	48266
32423	57149
32423	60831
32423	65551
32423	74529
32423	76809
32423	82382
32423	174822
32423	226411
32423	239981
32423	243146
32423	279589
10	6536
10	55087
10	118572
118572	10
118572	55087
118572	122236
55087	70563
6536	10
6536	55087
6536	57038
11	149993
149993	11
149993	3094
149993	21629
149993	153442
149993	160198
12	68889
12	95163
12	136821
12	251796
12	272442
251796	68889
251796	95163
251796	136821
251796	272442
272442	68889
272442	95163
272442	136821
272442	251796
136821	52915
136821	68889
136821	95163
136821	132852
136821	161355
136821	181567
136821	183180
136821	201898
136821	216344
136821	222686
136821	246568
136821	251796
136821	272442
136821	273978
95163	68889
95163	136821
95163	251796
95163	272442
68889	37250
68889	56758
68889	95163
68889	136821
68889	182236
68889	215179
68889	216749
68889	224484
68889	241952
68889	251796
68889	272442
68889	281180
13	41825
13	76448
13	180949
180949	13
180949	41825
180949	76448
76448	13
76448	41825
76448	180949
41825	13
41825	76448
41825	180949
14	34573
14	38342
14	81435
14	105607
14	167295
14	198090
14	214128
14	226411
14	234704
14	245659
214128	13239
214128	18546
214128	28600
214128	42226
214128	91081
214128	104767
214128	105607
214128	178672
214128	184056
214128	201501
214128	209959
214128	227979
214128	253840
214128	276723
214128	278481
214128	279368
226411	91
226411	32833
226411	38949
226411	41122
226411	51599
226411	52022
226411	60440
226411	84298
226411	96358
226411	99759
226411	112742
226411	118244
226411	145892
226411	151428
226411	161890
226411	185472
226411	208542
226411	222873
226411	239874
226411	273989
234704	23178
234704	36110
234704	88659
234704	93278
234704	105607
234704	123871
234704	132695
234704	136444
234704	138302
234704	139976
234704	142475
234704	168387
234704	179606
234704	187555
234704	197211
234704	211401
234704	212877
234704	214007
234704	226411
234704	229966
234704	234946
234704	248147
234704	268240
245659	12962
245659	17954
245659	34573
245659	35240
245659	38342
245659	74902
245659	81435
245659	84908
245659	105607
245659	113385
245659	113888
245659	122570
245659	154291
245659	159247
245659	167295
245659	198090
245659	214128
245659	226411
245659	226569
245659	234704
245659	242285
198090	837
198090	13239
198090	18546
198090	25791
198090	28600
198090	49886
198090	56857
198090	104767
198090	105607
198090	127278
198090	178645
198090	200345
198090	222402
198090	227979
198090	238416
198090	263471
198090	273817
198090	279368
198090	279653
167295	18095
167295	38342
167295	51080
167295	112640
167295	153582
167295	164079
167295	176605
167295	205715
167295	209963
167295	229011
167295	245520
167295	274944
81435	13239
81435	18546
81435	28600
81435	104767
81435	105351
81435	105607
81435	150705
81435	157709
81435	160401
81435	210784
81435	227979
81435	250159
81435	261002
81435	267010
81435	268136
81435	279368
105607	2301
105607	2836
105607	9729
105607	13239
105607	18546
105607	28600
105607	42226
105607	47267
105607	67513
105607	74991
105607	81435
105607	104767
105607	108809
105607	126333
105607	138478
105607	146255
105607	160401
105607	163229
105607	167057
105607	174589
105607	178672
105607	193194
105607	198090
105607	209959
105607	210784
105607	214128
105607	227979
105607	231071
105607	242507
105607	250534
105607	267010
105607	276723
105607	278983
105607	279368
105607	280607
38342	311
38342	8606
38342	12962
38342	17954
38342	34573
38342	35240
38342	60981
38342	74902
38342	81435
38342	84908
38342	105607
38342	108320
38342	113385
38342	113888
38342	122570
38342	154291
38342	159247
38342	167295
38342	175835
38342	180763
38342	198090
38342	214128
38342	226411
38342	226569
38342	234704
38342	242285
38342	245659
34573	38342
34573	97376
34573	103445
34573	167295
34573	208209
34573	221045
34573	226058
15	214109
214109	15
214109	6341
214109	9544
214109	15719
214109	28809
214109	34302
214109	40830
214109	48556
214109	54036
214109	59029
214109	60097
214109	68031
214109	69313
214109	70674
214109	73107
214109	74249
214109	76007
214109	86430
214109	88106
214109	89483
214109	89848
214109	93442
214109	95192
214109	95892
214109	100174
214109	102101
214109	112987
214109	115474
214109	121311
214109	122405
214109	125655
214109	126627
214109	149126
214109	154253
214109	156138
214109	163116
214109	165732
214109	165869
214109	173541
214109	174653
214109	186698
214109	195288
214109	195781
214109	203567
214109	204879
214109	205736
214109	206815
214109	208925
214109	210283
214109	213740
214109	229441
214109	248582
214109	256227
214109	258809
214109	265652
214109	267410
214109	269247
214109	273564
214109	274619
214109	279573
214109	280793
214109	281513
16	19955
16	25301
16	61790
16	65322
16	101424
16	234568
234568	16
234568	157159
234568	215301
234568	262255
101424	19955
101424	61790
101424	106740
101424	157159
61790	16
61790	1145
61790	5430
61790	6562
61790	13085
61790	15396
61790	19955
61790	21036
61790	25301
61790	26376
61790	27475
61790	32252
61790	39601
61790	42184
61790	44257
61790	49456
61790	50523
61790	53819
61790	58635
61790	64271
61790	65322
61790	69254
61790	74334
61790	77992
61790	80205
61790	81370
61790	84255
61790	88701
61790	94578
61790	100309
61790	101424
61790	104226
61790	105300
